"user_id","name","email","role","wallet_address","wallet_provider","transaction_hash","feedback"
"1","Nguyễn Minh Anh","minhanh27@gmail.com","Farmer","GA2YHTCA3TXDSVOQ2JPXZV2Y5DBG6XO5SNLOKDFS76HA3TNYKNPOGP4A","rabet","2aeae2d73627955cce998b6d3d1fecff019182c198b1399d61460b835ed91301","Cần checklist rõ hơn trước khi nạp tiền."
"2","Trần Quốc Bảo","baoquoc542@gmail.com","Buyer","GA5MAALKVNU3VYG2P5TCYD6FZJ5CAGCL6T23LKP27H5545SO6GTGJHXC","rabet","eaba0726e05a3a5fde166f6ca13cfde30f043973c999dd1af437e4b4e4c2f720","Bảng tổng quan dễ xem nhưng nút sao chép mã giao dịch còn khó thấy."
"3","Lê Hoàng Linh","hoanglinhwork@gmail.com","Cooperative","GA6ZFILDHKIEEP6AGN67NRULCL4RLQHHOPTTDZO7QP2552HF7SWVYDSB","rabet","7b66fdd0ce052607b08da1d09c9aa96f04498bd64fa7db46134b9d1412acc6b4","Cần giải thích rõ hơn bước tiếp theo khi chưa có địa chỉ hợp đồng."
"4","Phạm Thu Hà","thuhome88@gmail.com","Farmer","GA76VA4VVM7DDGM4IGQTTNZRWGH3FYAIB4DKIXOMTI5TBCH4KDOFRRPY","rabet","69813825ce0082b2923906ac0add8ab8168b23d9e1f11b9f237999255e7ac36e","Phần tranh chấp nên nhấn mạnh ai đang chờ xử lý."
"5","Võ Đức Huy","huy.vo24@gmail.com","Buyer","GA7RNAY67NSCXUKLT37PF3LB5L22CYEYCQLG22HGDKTNTBXHCGYVIOKG","rabet","bae1e227fa8bbd561d3a24868cfd7cb10c8a7289fa4c0190d254c607d6fa2e1c","Danh sách hồ sơ và trạng thái bảo chứng khá trực quan."
"6","Bùi Ngọc Mai","maingoc99@gmail.com","Farmer","GAA44JYIV3LCLG4WDBJY67JS6GX4JUPK2UJ4T6Y5BKYLK5VODSYOFWOF","freighter","92f57c0404294edfc721bc7ff2c3c716c42f7b5a2d7838cccaf6e4581ec04a05","Tôi muốn có hướng dẫn tiếng Việt ngắn trước khi kết nối ví."
"7","Đặng Gia Khang","giakhang.dev@gmail.com","Cooperative","GACHLZR27UCCSFMONJBUACXHUQKMRBFLZ3CK5CZ4LIUXFWTDL5ZMZ3GS","rabet","0666da6a9f422ff5874e37b1789ab6457a8b2b1aca370c4c9e0962bfcdecadb5","Nhật ký hoạt động giúp kiểm tra thay đổi thuận tiện."
"8","Nguyễn Hải Yến","yenhaiwork@gmail.com","Farmer","GADPRTD6V3CBUMLEFR5FTMLIFOYWRN6ONSU72QKY5A5ABCPFPKD47NOH","freighter","065fab2d0a2d3b74a1227d89ee19b25da91f695f1754df0611d552936695ff9a","Timeline trên điện thoại cần nhãn ngắn hơn."
"9","Trương Anh Tú","tuanh317@gmail.com","Buyer","GARBZPPIQX5U7S4S4HZDDR2TY3RGMEHN5V3PG4WFGD6PHHIQXWOBBJCG","rabet","ee856cb7439942fb04433178401870138d1c740f4f00661086f3866067e649f8","Nên đặt cảnh báo testnet gần khu vực địa chỉ ví."
"10","Hồ Khánh Vy","khanhvy.home@gmail.com","Farmer","GASDT5MEWS2GAFWMJ6IO6E254QLWJJRI2Z4J2IDJ5OQJCJIKSYJPPRQF","rabet","dd2cf44190956ac54378193fe007ee31748c3c66eb0ac1fd9e1a601ae4adf38f","Trang feedback dễ dùng và không có trường dư thừa."
